train_0,train_1,train_2,train_3,train_4,valid_0,valid_1,valid_2,valid_3,valid_4,test_0,test_1,test_2,test_3,test_4
0,0.182093453,-0.475042863,-0.645126446,0.849613148,-2.77987811,0,0,0,0,0,0,0,0,0
0,-0.404321755,-0.06337723,-0.64972047,-0.772098273,-0.727508383,0,0,0,0,0,0,0,0,0
0,-1.725648045,-1.832506372,-1.900840276,-1.031634289,-1.279151015,0,0,0,0,0,0,0,0,0
0,-0.531736468,-0.961713606,-1.097423211,-0.880879004,-2.924735164,0,0,0,0,0,0,0,0,0
0,0.811934592,-0.156597887,0.292838109,-0.394384031,-2.650015989,0,0,0,0,0,0,0,0,0
0,-2.25542201,-2.502292399,-2.27368,-2.309981226,-3.30840046,0,0,0,0,0,0,0,0,0
0,0.82147464,-0.443355728,-0.431624315,0.454563596,-2.883932413,0,0,0,0,0,0,0,0,0
0,-1.505940199,-0.633207268,-0.456534365,-1.067512236,-3.649826624,0,0,0,0,0,0,0,0,0
0,-0.111826229,-0.851795672,-1.23044505,-0.407716756,-3.336952098,0,0,0,0,0,0,0,0,0
0,-1.018428433,-1.493728992,-1.911310848,-1.415353793,-1.586300313,0,0,0,0,0,0,0,0,0
0,-0.858179694,-2.774736477,-2.007428951,-2.060201166,-3.028662599,0,0,0,0,0,0,0,0,0
0,-0.388117651,-0.128592707,-1.423672214,-0.420299342,-2.915879052,0,0,0,0,0,0,0,0,0
0,-0.472580692,-0.203531384,-0.726454221,-0.873683485,-0.778230865,0,0,0,0,0,0,0,0,0
0,-1.777670352,-2.8116702,-1.77453647,-1.555397918,-1.881146597,0,0,0,0,0,0,0,0,0
0,-1.734707147,-1.844524739,-1.917262133,-1.05581127,-1.290093999,0,0,0,0,0,0,0,0,0
0,-0.876509192,-1.829328201,-1.337783171,-1.17717551,-1.897722541,0,0,0,0,0,0,0,0,0
0,0.393419445,-0.36253266,-0.48208614,-0.402585733,-2.635247805,0,0,0,0,0,0,0,0,0
0,-1.822986392,-1.616625572,-2.271470413,-1.253788851,-3.136232543,0,0,0,0,0,0,0,0,0
0,-1.716884431,-2.499622164,-1.403167959,-0.962973064,-3.108247431,0,0,0,0,0,0,0,0,0
0,-4.123676269,-3.980634011,-2.860103282,-1.994092305,1.196562474,0,0,0,0,0,0,0,0,0
0,-2.065455367,-1.427697405,-2.297955478,-1.220376306,-1.682544592,0,0,0,0,0,0,0,0,0
0,-0.746894349,-0.498492311,-0.910788596,-0.755261672,-2.515457888,0,0,0,0,0,0,0,0,0
0,-1.718496584,-1.896307381,-2.931566455,-1.822883513,-2.257726634,0,0,0,0,0,0,0,0,0
0,-0.023030745,-0.75396669,-1.11154575,-0.034767694,-1.722334009,0,0,0,0,0,0,0,0,0
0,-0.313333522,-0.08089154,-0.780761776,-0.608276918,-1.968121172,0,0,0,0,0,0,0,0,0
0,0.01254364,0.557263867,-1.027231722,-0.812139813,-2.609878029,0,0,0,0,0,0,0,0,0
0,-1.281612264,-2.255898575,-1.171890861,-1.734264722,-1.906758115,0,0,0,0,0,0,0,0,0
0,-1.203619977,-2.222701013,-1.1333293,-1.652955632,-2.793061822,0,0,0,0,0,0,0,0,0
0,-0.060587046,-0.51714244,-0.607443277,0.302208846,-1.493946744,0,0,0,0,0,0,0,0,0
0,-0.564779481,-2.013166866,-1.818182228,-1.876918647,-2.000028597,0,0,0,0,0,0,0,0,0
0,-0.779147547,-1.817103846,-2.068608856,-1.037452708,-3.69974972,0,0,0,0,0,0,0,0,0
0,-0.426741031,-1.60688807,-1.564487929,-0.954111646,-1.976146181,0,0,0,0,0,0,0,0,0
0,-0.700122782,-1.468548596,-0.697128224,-1.529521129,-1.125164505,0,0,0,0,0,0,0,0,0
0,-0.492865809,-1.164901561,-1.513415751,-1.275640218,-2.224131398,0,0,0,0,0,0,0,0,0
0,0.458988769,-0.896458454,-0.361564769,-0.113865352,-2.204431259,0,0,0,0,0,0,0,0,0
0,-0.05349948,-0.921893971,-0.939272647,-1.540672638,-3.340079752,0,0,0,0,0,0,0,0,0
0,-0.164613669,-2.407175635,-1.781663942,-0.88648982,-1.613953952,0,0,0,0,0,0,0,0,0
0,-1.216585937,-2.090275226,-1.700863248,-1.067563906,-1.563819678,0,0,0,0,0,0,0,0,0
0,-0.144560144,-1.123934573,-1.548531795,-1.335816479,-0.151452101,0,0,0,0,0,0,0,0,0
0,0.355283239,-0.15075963,-0.402903596,-0.71303661,-2.826088918,0,0,0,0,0,0,0,0,0
0,-1.445774549,-0.969922689,-2.21930186,-2.046828305,-1.597222767,0,0,0,0,0,0,0,0,0
0,-0.658621563,0.29918061,-1.39539392,-1.204187887,-2.937696049,0,0,0,0,0,0,0,0,0
0,-2.589572613,-2.919316726,-2.838868727,-2.842071118,-2.844219809,0,0,0,0,0,0,0,0,0
0,-1.175309851,-2.563471613,-2.992940585,-2.798018228,-2.992029669,0,0,0,0,0,0,0,0,0
0,-1.288608023,-2.159023644,-1.54673626,-1.285947014,-2.640230046,0,0,0,0,0,0,0,0,0
0,-0.243357478,-1.595761242,-0.943825611,-1.133977021,-2.36432638,0,0,0,0,0,0,0,0,0
0,-2.38960804,-3.041065723,-3.196367283,-3.597115767,-3.024131318,0,0,0,0,0,0,0,0,0
0,0.288194261,-2.239295642,-0.21810742,-1.418132443,-1.911481544,0,0,0,0,0,0,0,0,0
0,-2.226490229,-2.451436821,-2.946529094,-2.565846822,-1.726474766,0,0,0,0,0,0,0,0,0
0,0.550555984,-0.173460324,-0.231990062,-0.317683496,-2.137061786,0,0,0,0,0,0,0,0,0
0,-0.64879779,-1.618867684,-0.889718739,-0.942884939,-2.622565801,0,0,0,0,0,0,0,0,0
0,-1.081468692,-2.079115643,-2.282720879,-1.539316068,-3.02487246,0,0,0,0,0,0,0,0,0
0,-0.309620197,-1.138514299,-0.739561812,-0.644674333,-2.156519952,0,0,0,0,0,0,0,0,0
